,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
0,1,19,15,39,4
1,1,21,15,81,3
2,0,20,16,6,4
3,0,23,16,77,3
4,0,31,17,40,4
5,0,22,17,76,3
6,0,35,18,6,4
7,0,23,18,94,3
8,1,64,19,3,4
9,0,30,19,72,3
10,1,67,19,14,4
11,0,35,19,99,3
12,0,58,20,15,4
13,0,24,20,77,3
14,1,37,20,13,4
15,1,22,20,79,3
16,0,35,21,35,4
17,1,20,21,66,3
18,1,52,23,29,4
19,0,35,23,98,3
20,1,35,24,35,4
21,1,25,24,73,3
22,0,46,25,5,4
23,1,31,25,73,3
24,0,54,28,14,4
25,1,29,28,82,3
26,0,45,28,32,4
27,1,35,28,61,3
28,0,40,29,31,4
29,0,23,29,87,3
30,1,60,30,4,4
31,0,21,30,73,3
32,1,53,33,4,4
33,1,18,33,92,3
34,0,49,33,14,4
35,0,21,33,81,3
36,0,42,34,17,4
37,0,30,34,73,3
38,0,36,37,26,4
39,0,20,37,75,3
40,0,65,38,35,4
41,1,24,38,92,3
42,1,48,39,36,4
43,0,31,39,61,1
44,0,49,39,28,4
45,0,24,39,65,3
46,0,50,40,55,1
47,0,27,40,47,1
48,0,29,40,42,1
49,0,31,40,42,1
50,0,49,42,52,1
51,1,33,42,60,1
52,0,31,43,54,1
53,1,59,43,60,1
54,0,50,43,45,1
55,1,47,43,41,1
56,0,51,44,50,1
57,1,69,44,46,1
58,0,27,46,51,1
59,1,53,46,46,1
60,1,70,46,56,1
61,1,19,46,55,1
62,0,67,47,52,1
63,0,54,47,59,1
64,1,63,48,51,1
65,1,18,48,59,1
66,0,43,48,50,1
67,0,68,48,48,1
68,1,19,48,59,1
69,0,32,48,47,1
70,1,70,49,55,1
71,0,47,49,42,1
72,0,60,50,49,1
73,0,60,50,56,1
74,1,59,54,47,1
75,1,26,54,54,1
76,0,45,54,53,1
77,1,40,54,48,1
78,0,23,54,52,1
79,0,49,54,42,1
80,1,57,54,51,1
81,1,38,54,55,1
82,1,67,54,41,1
83,0,46,54,44,1
84,0,21,54,57,1
85,1,48,54,46,1
86,0,55,57,58,1
87,0,22,57,55,1
88,0,34,58,60,1
89,0,50,58,46,1
90,0,68,59,55,1
91,1,18,59,41,1
92,1,48,60,49,1
93,0,40,60,40,1
94,0,32,60,42,1
95,1,24,60,52,1
96,0,47,60,47,1
97,0,27,60,50,1
98,1,48,61,42,1
99,1,20,61,49,1
100,0,23,62,41,1
101,0,49,62,48,1
102,1,67,62,59,1
103,1,26,62,55,1
104,1,49,62,56,1
105,0,21,62,42,1
106,0,66,63,50,1
107,1,54,63,46,1
108,1,68,63,43,1
109,1,66,63,48,1
110,1,65,63,52,1
111,0,19,63,54,1
112,0,38,64,42,1
113,1,19,64,46,1
114,0,18,65,48,1
115,0,19,65,50,1
116,0,63,65,43,1
117,0,49,65,59,1
118,0,51,67,43,1
119,0,50,67,57,1
120,1,27,67,56,1
121,0,38,67,40,1
122,0,40,69,58,1
123,1,39,69,91,2
124,0,23,70,29,0
125,0,31,70,77,2
126,1,43,71,35,1
127,1,40,71,95,2
128,1,59,71,11,0
129,1,38,71,75,2
130,1,47,71,9,0
131,1,39,71,75,2
132,0,25,72,34,1
133,0,31,72,71,2
134,1,20,73,5,0
135,0,29,73,88,2
136,0,44,73,7,0
137,1,32,73,73,2
138,1,19,74,10,0
139,0,35,74,72,2
140,0,57,75,5,0
141,1,32,75,93,2
142,0,28,76,40,1
143,0,32,76,87,2
144,1,25,77,12,0
145,1,28,77,97,2
146,1,48,77,36,0
147,0,32,77,74,2
148,0,34,78,22,0
149,1,34,78,90,2
150,1,43,78,17,0
151,1,39,78,88,2
152,0,44,78,20,0
153,0,38,78,76,2
154,0,47,78,16,0
155,0,27,78,89,2
156,1,37,78,1,0
157,0,30,78,78,2
158,1,34,78,1,0
159,0,30,78,73,2
160,0,56,79,35,0
161,0,29,79,83,2
162,1,19,81,5,0
163,0,31,81,93,2
164,1,50,85,26,0
165,0,36,85,75,2
166,1,42,86,20,0
167,0,33,86,95,2
168,0,36,87,27,0
169,1,32,87,63,2
170,1,40,87,13,0
171,1,28,87,75,2
172,1,36,87,10,0
173,1,36,87,92,2
174,0,52,88,13,0
175,0,30,88,86,2
176,1,58,88,15,0
177,1,27,88,69,2
178,1,59,93,14,0
179,1,35,93,90,2
180,0,37,97,32,0
181,0,32,97,86,2
182,1,46,98,15,0
183,0,29,98,88,2
184,0,41,99,39,0
185,1,30,99,97,2
186,0,54,101,24,0
187,1,28,101,68,2
188,0,41,103,17,0
189,0,36,103,85,2
190,0,34,103,23,0
191,0,32,103,69,2
192,1,33,113,8,0
193,0,38,113,91,2
194,0,47,120,16,0
195,0,35,120,79,2
196,0,45,126,28,0
197,1,32,126,74,2
198,1,32,137,18,0
199,1,30,137,83,2
